	cancer	normal	MeanDecreaseAccuracy	MeanDecreaseGini
RNF183	0.000294117647058824	0.00171428571428571	0.00101449275362319	0.244487585082926
S100A8	-0.000285714285714286	0	-0.000150375939849624	0.0375
S100A9	0.00548387096774194	0.000845070422535211	0.00300751879699248	0.373783126441139
SCG2	0	0	0	0
SERPINE1	0	0.0034375	0.00169230769230769	0.130956287787061
SFRP1	0	0	0	0
SNAI1	0	0	0	0
SORT1	0.0373144051449472	0.0096063852623773	0.0226034783755232	15.1832198549369
STK24	0	0	0	0.0355555555555556
TLR3	0	0	0	0
TNFAIP3	0	0	0	0.048
TNFRSF12A	0	0	0	0
TP63	0.00129032258064516	0.00197183098591549	0.00165413533834586	2.43899397729602
TPD52L1	0	0	0	0.0266666666666667
ZNF385B	0	0	0	0.039766081871345
CHMP2B	0.000675629534784464	0.000641025641025641	0.000628328664799253	0.332407407407407
GSDMC	0	0	0	0
IL18	0.018282682834407	0.00566183695215953	0.0119679504516687	5.82422069704871
NLRP2	0	0	0	0
NLRP7	0	0	0	0
AIM2	-0.000307692307692308	0.00492307692307692	0.00235164835164835	0.117821906571556
MT1G	0.000895522388059701	0.000571428571428571	0.00072992700729927	0.151007478527807
PEBP1	0.0101515151515152	-0.00088272921108742	0.00485158918015547	0.215066088473909
PGD	0	0	0	0
PRNP	0.000303030303030303	0.00567164179104478	0.00300751879699248	0.155949367088608
SLC39A14	0	0	0	0.039766081871345
SLC3A2	0.0045668016194332	0.00147348496602228	0.00290530709073294	0.327987308845701
SLC7A11	0	0	0	0
TF	0.000298507462686567	0	0.000145985401459854	0.06
TFRC	0	0.00388888888888889	0.00207407407407407	0.398002607561929
FTL	0.024589501447145	0.00292621756542648	0.0134419240116506	0.958335805033225
FYCO1	0.000608294930875576	0.00997269292634571	0.00498974923976761	0.315657802589585
HSP90AA1	0.0225102176519813	0.0156582148622807	0.0185904785660217	1.62357115028991
HSPB8	0.00511080525311115	0.0072297474821194	0.00608748333939174	5.50549430850406
LAMP3	0.000689655172413793	0.00295081967213115	0.0017695274831244	0.117359284197165
LEP	0	0	0	0
MAPK3	0.0071157495256167	0.00476190476190476	0.00621209513506425	5.68080603770704
MET	-0.00028169014084507	0.00676923076923077	0.00308823529411765	0.116777719019919
PLK3	0	0	0	0
PRKAA2	0	0	0	0.0363636363636364
QSOX1	0	0	0	0
RRAGD	0.011745816372682	0.0106314580941447	0.0111688311688312	8.53835742567963
SESN2	0	0	0	0
SH3BP4	0	0	0	0
SVIP	0.000645161290322581	0.00602739726027397	0.00355555555555556	0.0791061452513969
SYNPO2	0.00203265315488449	0.00612169666082709	0.00401667960001143	0.558031043956044
TP53INP2	0.00142857142857143	0	0.00075187969924812	0.151925036988328
TPCN1	0	0	0	0
TREM2	0.0117932276799453	0.0124853611819644	0.0123472588192276	1.18258893110479
TRIM13	0	0	0	0.035
TRIM6	0	0	0	0
TRIML2	0	0	0	0
UCHL1	0	0	0	0
VPS13D	0.000350877192982456	0	0.00016260162601626	0.00645045045045038
ACSL6	0	0	0	0
AKR1C1	0	0	0	0
ALOX12	0	0	0	0
CRYAB	0	0.00303030303030303	0.00145985401459854	0.155106292517007
FADS2	0.00241379310344828	-0.00032258064516129	0.001	0.0397894736842107
EIF2AK2	0.0208255957248648	0.00967697027726831	0.0155295016009437	1.56629602723897
GLA	0.000294117647058824	0.00542857142857143	0.00289855072463768	0.0790643274853801
HYAL1	0	0	0	0.160678642714571
IL13RA2	0	0	0	0
KIT	-0.000344827586206897	0	-0.000166666666666667	0.0705882352941176
LAPTM4B	0.0114096185737977	0.0139767418960967	0.0126927403094056	3.775500452746
PLA2G3	0	0	0	0
PLEKHM1	0	0	0	0
PPT1	0	0	0	0
PTGDS	0.0189674241088837	0.000900045228403437	0.0100139170040486	0.684179027235787
RAB34	0	0	0	0
ABL2	0.000327868852459016	-4.80769230769229e-06	0.000163614163614164	0.198386737835013
ATP6V0D2	0.000943253467843632	0.0136113170026214	0.00759583981166715	0.648776694734278
ATP6V1C1	0.00175266175266175	0.00747735507246377	0.00436392914653784	0.326514583966758
ATP6V1D	0.000615384615384615	0	0.000307692307692308	0.266969411469129
STAT1	0.00027027027027027	0.00619278169014085	0.00341648847707294	0.195309239625478
GALNS	0.00406823984844741	0.0117160737812912	0.00727491532931492	0.761169827923354
CTSG	0	0	0	0
CTSK	0	0.00238805970149254	0.00130081300813008	0.0790751445086704
MTF1	0	0	0	0
AP4B1	0	0	0	0.0369230769230769
ASAH1	0	0	0	0
ATP10B	0	0	0	0.032
ATP6V0A4	0	0	0	0.03
BLK	0.000357142857142857	0	0.00016260162601626	0.0730952380952382
MMP1	0.0149926391642182	0.0257740247991495	0.020578490324224	15.5925103050482
MIA	0	0	0	0
ADGRE2	0	0	0	0
CA9	0	0	0	0
